Date,High,Low,Open,Close
2009-09-11,973306.318359375,962737.1997070312,973038.0322265625,966100.5322265625
2009-09-14,960919.62890625,940793.4716796875,960919.62890625,943690.5102539062
2009-09-15,952053.4497070312,941955.2319335938,948655.068359375,945129.8608398438
2009-09-16,961496.7602539062,947869.7216796875,951706.5747070312,950046.181640625
2009-09-17,966051.4819335938,956462.9174804688,959525.625,966051.4819335938
2009-09-18,961946.3427734375,952056.25,960076.9213867188,959274.9536132812
2009-09-24,977445.693359375,960786.3891601562,962511.5502929688,975340.3247070312
2009-09-25,961579.1430664062,946145.4638671875,961579.1430664062,949603.193359375
2009-09-28,939022.9638671875,922322.1069335938,937602.2216796875,925880.556640625
2009-09-29,936643.8891601562,930537.9858398438,933242.7075195312,934268.5180664062
2009-09-30,937768.7036132812,930891.3647460938,934728.2177734375,937323.818359375
2009-10-01,932142.8247070312,921768.0102539062,931719.1674804688,923024.1674804688
2009-10-02,911325.7177734375,898561.62109375,910946.50390625,900197.9858398438
2009-10-05,902019.2602539062,894411.1352539062,900309.00390625,894890.3466796875
2009-10-06,901358.8427734375,890651.9677734375,901358.8427734375,896491.4819335938
2009-10-07,908510.9716796875,900550.37109375,901897.2216796875,906462.9638671875
2009-10-08,912358.935546875,901518.9111328125,907057.8002929688,909503.4497070312
2009-10-09,926516.0424804688,911808.5424804688,915160.7641601562,926516.0424804688
2009-10-13,935796.5747070312,928664.8608398438,931183.5888671875,932081.7602539062
2009-10-14,933880.9033203125,926502.2216796875,933880.9033203125,930569.4213867188
2009-10-15,950217.3608398438,942094.8852539062,943029.189453125,947075.1611328125
2009-10-16,951853.6352539062,944992.9174804688,950567.0361328125,948824.2602539062
2009-10-19,949460.7397460938,936593.0322265625,941600.0463867188,946877.1533203125
2009-10-20,958077.060546875,953452.060546875,955460.2319335938,956157.685546875
2009-10-21,957416.6430664062,952046.0424804688,952046.0424804688,955838.5424804688
2009-10-22,950401.4575195312,939768.564453125,948225.810546875,949713.2177734375
2009-10-23,958685.7177734375,950133.1713867188,956018.935546875,951176.5966796875
2009-10-26,961786.3647460938,948202.685546875,950145.185546875,958542.3608398438
2009-10-27,951910.0927734375,943678.49609375,951220.0463867188,944652.5463867188
2009-10-28,944351.0180664062,930586.0424804688,941847.9174804688,931942.1069335938
2009-10-29,919950.439453125,911136.1108398438,919595.25390625,914926.7138671875
2009-10-30,929587.060546875,923550.5322265625,925632.685546875,928213.4716796875
2009-11-02,916176.4575195312,900592.9174804688,916098.681640625,906772.8930664062
2009-11-04,910662.5,903531.689453125,905138.4252929688,910598.6352539062
2009-11-05,908888.37890625,896481.3647460938,906823.75,898863.2397460938
2009-11-06,911099.0747070312,903447.5,907677.568359375,905514.8388671875
2009-11-09,910745.7861328125,900172.060546875,904431.6674804688,907331.5966796875
2009-11-10,923100.0463867188,911781.7138671875,916182.87109375,913042.568359375
2009-11-11,920348.1713867188,911124.0966796875,914841.62109375,913130.37109375
2009-11-12,919780.25390625,905435.3466796875,917734.1430664062,906915.3466796875
2009-11-13,906981.0180664062,899042.6391601562,905870.1147460938,903753.6352539062
2009-11-16,906734.0502929688,899637.3852539062,905032.9174804688,905684.12109375
2009-11-17,910906.6674804688,898663.4252929688,909698.6572265625,900018.49609375
2009-11-18,905464.8852539062,890944.2822265625,899398.818359375,895103.9819335938
2009-11-19,896497.0825195312,878386.50390625,896497.0825195312,883325.9497070312
2009-11-20,880007.9638671875,871688.564453125,875069.4213867188,878535.37109375
2009-11-24,879767.5,869295.5786132812,879767.5,869646.1572265625
2009-11-25,874467.2680664062,866385.5322265625,867825.7861328125,873351.6674804688
2009-11-26,874794.7216796875,862561.5966796875,865318.9819335938,867949.7216796875
2009-11-27,856291.0180664062,839567.939453125,856291.0180664062,840040.556640625
2009-11-30,865220.9716796875,847501.62109375,849998.2177734375,864463.3569335938
2009-12-01,885428.5180664062,854071.0180664062,858568.37890625,885428.5180664062
2009-12-02,892007.12890625,880058.9111328125,883540.5786132812,888826.9897460938
2009-12-03,922934.4677734375,897899.306640625,897899.306640625,922934.4677734375
2009-12-04,927089.560546875,916011.7822265625,926779.7216796875,927089.560546875
2009-12-07,943923.6572265625,934833.6352539062,937200.7861328125,940502.9638671875
2009-12-08,938812.12890625,932382.3852539062,932382.3852539062,937993.4497070312
2009-12-09,929526.9897460938,923702.1997070312,929526.9897460938,925436.5747070312
2009-12-10,928322.5927734375,909665.3247070312,921674.6069335938,912310.87890625
2009-12-11,934977.9858398438,917249.4213867188,921115.0,934977.9858398438
2009-12-14,936711.4575195312,925887.9638671875,936711.4575195312,934775.37109375
2009-12-15,935337.7783203125,928135.7861328125,929944.1430664062,932721.943359375
2009-12-16,945555.3247070312,935833.6108398438,941588.0322265625,941410.439453125
2009-12-17,949061.1108398438,940151.4819335938,943492.5927734375,940151.4819335938
2009-12-18,939545.625,927576.0888671875,935234.1674804688,938139.6069335938
2009-12-21,944932.8466796875,941970.9497070312,943195.6713867188,941970.9497070312
2009-12-22,959967.8002929688,946757.8247070312,948680.0,959967.8002929688
2009-12-24,976652.939453125,963236.7358398438,963236.7358398438,974665.0927734375
2009-12-25,975594.6997070312,969090.1611328125,975594.6997070312,970760.6713867188
2009-12-28,985401.5966796875,972503.3569335938,973267.3852539062,983666.318359375
2009-12-29,988188.6108398438,980260.439453125,981596.0888671875,984020.5102539062
2009-12-30,990444.6533203125,975545.7397460938,990444.6533203125,975545.7397460938
2010-01-04,989240.3466796875,981252.9174804688,981363.935546875,985568.0786132812
2010-01-05,998171.2036132812,985640.25390625,991548.2397460938,988069.2822265625
2010-01-06,996096.4575195312,986158.2177734375,990633.3569335938,992659.1430664062
2010-01-07,996595.0,983891.9677734375,993704.375,988053.564453125
2010-01-08,1000521.6430664062,987674.2602539062,993755.2319335938,998844.62890625
2010-01-12,1008748.5424804688,995640.37109375,996257.3388671875,1006320.4174804688
2010-01-13,1005162.3608398438,992512.0825195312,998581.943359375,992990.3002929688
2010-01-14,1009169.4897460938,996618.125,996971.50390625,1008960.37109375
2010-01-15,1015844.2138671875,1006291.7822265625,1009860.439453125,1015844.2138671875
2010-01-18,1007796.7138671875,997245.3002929688,1007103.9575195312,1004094.9072265625
